,namespace,user_id,id
8546,joaoferreira,edu.renata.bruna.sme,541968
8547,eldapereira,edu.maria.rosineide.sme,541808
8548,joaorosa,edu.maria.rosineide.sme,541809
8549,moaciralves,edu.renata.bruna.sme,541969
8550,luizgonzaga,edu.maria.rosineide.sme,541810
8551,abiliomartins,edu.maria.rosineide.sme,541811
8552,antoniomelo,edu.renata.bruna.sme,541970
8553,conradochaves,edu.maria.rosineide.sme,541812
8554,valdemiracoelho,edu.renata.bruna.sme,541971
8555,melquiadescamelo,edu.maria.rosineide.sme,541813
8556,guilhermefilho,edu.maria.rosineide.sme,541814
8557,criancaesperanca,edu.maria.rosineide.sme,541815
8558,vitae,jessyca.vitae,537426
8559,pedrocamelo,edu.maria.rosineide.sme,541816
8560,joaosampaio,edu.maria.rosineide.sme,541817
8561,vitae,michele.vitae,537427
8562,mariaolinda,edu.maria.rosineide.sme,541818
8563,abdiasmartins,edu.maria.rosineide.sme,541819
8564,antoniairene,edu.maria.rosineide.sme,541820
8565,nsfatima,edu.maria.rosineide.sme,541821
8566,franciscoperes,edu.maria.rosineide.sme,541822
8567,joaoferreira,edu.maria.rosineide.sme,541823
8568,moaciralves,edu.maria.rosineide.sme,541824
8569,antoniomelo,edu.maria.rosineide.sme,541825
8570,einsteinassis,einstein.viniciusribeiro,537518
8571,valdemiracoelho,edu.maria.rosineide.sme,541826
8572,monsenhorfrancisco,edu.maria.rosineide.sme,541827
8573,joaobelem,edu.maria.rosineide.sme,541828
