,namespace,user_id,id
17385,ceespacolivre,Prof.patricia,565157
17386,colegioliceu,sas1261708,500052
17387,provaspoliedro,kaique.souza,540653
17388,itamarati,margarete.sicchieri,472710
17389,cbpdigital,paulovrmg38,546668
17390,casdvest,luis.gp,564108
17391,ceespacolivre,prof.franciele,565158
17392,physicsalcindocacela,prof.emersonsoares,564728
17393,casdinhosjc,Tessari,546649
17394,colegioalphaunis,profeskaren,564618
17395,physicsalcindocacela,prof.romulosantos,564729
17396,casdinhosjc,NHenrique,546651
17397,acessocampolargo,karl.werner,546532
17398,santoamerico,sas1568352,546554
17399,colegioplanck,martha.cancela,564111
17400,casdinhosjc,Mattheus,546652
17401,colegiobiangulo,sas1562653,546512
17402,physicsmacapa,anderson.pinheiro,546171
17403,physicsmacapa,anderson.marques,546173
17404,colegiointegral,tmedeiros,546192
17405,physicsalcindocacela,prof.georgechrist,564730
17406,physicsmacapa,edilson.lima,546174
17407,physicsalcindocacela,mauricio.dantas,564731
17408,universitariolondrina,VIVIANE.UNIVERSITARIO,546518
17409,physicsmacapa,marco.macedo,546176
17410,overzonanorte,Daniel.Lucas,522625
17411,dante,sas1558050,539978
17412,escolamaster,sas753064,543052
17413,physicsmacapa,marcos.andre,546177
17414,porto,sas1222764,459340
17415,santoamerico,sas1264785,471956
17416,physicsalcindocacela,maura.ataide,564732
17417,physicsalcindocacela,fabricio.araujo,564733
17418,santoantonio,sas1002665,564117
17419,esperanza,patrickluizflausino,598648
17420,mariacarmo,bonitoprof2,546962
17421,mariacarmo,bonitoprof3,546963
17422,mariacarmo,bonitoprof4,546964
17423,mariacarmo,bonitoprof5,546965
17424,mariacarmo,bonitoprof6,546966
17425,mariacarmo,bonitoprof7,546967
17426,mariacarmo,bonitoprof8,546968
17427,mariacarmo,bonitoprof9,546969
17428,mariacarmo,bonitoprof10,546970
17429,mariacarmo,bonitoprof11,546971
17430,mariacarmo,bonitoprof12,546972
17431,mariacarmo,bonitoprof13,546973
17432,mariacarmo,bonitoprof14,546974
17433,mariacarmo,bonitoprof15,546975
17434,mariacarmo,bonitoprof16,546976
17435,mariacarmo,bonitoprof17,546977
17436,mariacarmo,bonitoprof18,546978
17437,mariacarmo,bonitoprof19,546979
17438,mariacarmo,bonitoprof20,546980
17439,mariacarmo,bonitoprof21,546981
17440,mariacarmo,bonitoprof22,546982
17441,mariacarmo,bonitoprof23,546983
17442,manoelqueiroz,bonitoprof24,546984
17443,manoelqueiroz,bonitoprof25,546985
17444,manoelqueiroz,bonitoprof26,546986
17445,manoelqueiroz,bonitoprof27,546987
17446,manoelqueiroz,bonitoprof28,546988
17447,manoelqueiroz,bonitoprof29,546989
17448,manoelqueiroz,bonitoprof30,546990
17449,manoelqueiroz,bonitoprof31,546991
17450,manoelqueiroz,bonitoprof32,546992
17451,manoelqueiroz,bonitoprof33,546993
17452,manoelqueiroz,bonitoprof34,546994
17453,physicsalcindocacela,ernesto.luiz,564734
17454,marialeao,bonitoprof1,546961
17455,manoelbernardino,bonitoprof35,546997
17456,manoelbernardino,bonitoprof36,546998
17457,manoelbernardino,bonitoprof37,546999
17458,manoelbernardino,bonitoprof38,547000
17459,manoelbernardino,bonitoprof39,547001
17460,manoelbernardino,bonitoprof40,547002
17461,manoelbernardino,bonitoprof41,547003
17462,manoelbernardino,bonitoprof42,547004
17463,manoelbernardino,bonitoprof43,547005
17464,manoelbernardino,bonitoprof44,547006
17465,manoelbernardino,bonitoprof45,547007
17466,physicsalcindocacela,carlos.sergio,564735
17467,mariamerces,bonitoprof46,547008
17468,colegiobianguloiv,sas916571,540187
17469,physicsalcindocacela,prof.sandrojhordan,564736
17470,liessin,sas1560325,540039
17471,physicsumarizal,Emerson.sousa,543121
17472,physicsconselheirofurtado,emerson.soares,543101
17473,francobrasileiro,sas1368092,494047
17474,colegiopremium,leonidas.matta,499155
17475,eccos,paola.ferraz,543238
17476,dante,sas1563413,543240
17477,overjoaopessoa,EDLA.AUXILIAR,543231
17478,casdvest,almir.vieira,377667
17479,colegioeag,aline.c.santos,564157
17480,criancaesperanca,eduprof.iraneide.ce,564137
17481,colegiointegral,fernandaargollo,564158
17482,liessin,sas1405017,493717
17483,santoamerico,sas1264809,474401
17484,santoamerico,sas1264817,474381
17485,jeanpiaget,jeanpiaget,555378
17486,monsenhorgoncalo,eduprof.raquel.feitoza.mg,555388
17487,josemelo,edu.ednalva.estevao,555015
17488,josemelo,edu.elisangela,555016
17489,josemelo,edu.maria.jose.dos,555017
17490,josemelo,edu.raquel,555018
17491,josemelo,edu.valdilene,555019
17492,josemelo,edu.solange,555020
17493,josemelo,edu.maria.josiane.da,555021
17494,josemelo,edu.severino.acacio,555022
17495,josemelo,edu.monica.lemos,555023
17496,josemelo,edu.walderllaine.paula,555024
17497,josemelo,edu.maria.isabela,555025
17498,josemelo,edu.jose.wilson.ferreira,555026
17499,josemelo,edu.maria.jose.farias,555027
17500,josemelo,edu.dake.douglas,555028
17501,josemelo,edu.edvaldo.francisco,555029
17502,josemelo,edu.everaldo.viana,555030
17503,josemelo,edu.jafethlins,555031
17504,josemelo,edu.iris.gomes,555032
17505,josemelo,edu.fernanda.paula,555033
17506,josemelo,edu.jose.denis,555034
17507,josemelo,edu.elbaneide.bezerra,555035
17508,josemelo,edu.hipolyana.simone,555036
17509,cmdpii,sas1581258,598652
17510,qescola,professorsamuel,564193
17511,guilhermefilho,eduprof.michelli.virgilio.gf,564161
17512,josepiaulino,edu.ednalva.estevao,554536
17513,josepiaulino,edu.elisangela,554537
17514,josepiaulino,edu.maria.jose.dos,554538
17515,josepiaulino,edu.raquel,554539
17516,josepiaulino,edu.valdilene,554540
17517,josepiaulino,edu.solange,554541
17518,josepiaulino,edu.maria.josiane.da,554542
17519,josepiaulino,edu.severino.acacio,554543
17520,josepiaulino,edu.monica.c.lemos,554544
17521,josepiaulino,edu.walderllaine.paula,554545
17522,josepiaulino,edu.maria.isabela,554546
17523,josepiaulino,edu.dake.douglas.almeida,554547
17524,josepiaulino,edu.jose.wilson.ferreira,554548
17525,josepiaulino,edu.maria.jose.farias,554549
17526,josepiaulino,edu.dake.douglas,554550
17527,josepiaulino,edu.edvaldo.francisco,554551
17528,josepiaulino,edu.maria.isabela.cabral,554552
17529,josepiaulino,edu.everaldo.viana,554553
17530,josepiaulino,edu.jafethlins,554554
17531,josepiaulino,edu.iris.gomes,554555
17532,josepiaulino,edu.fernanda.paula.lima,554556
17533,josepiaulino,edu.jafeth.lins,554557
17534,josepiaulino,edu.fernanda.paula,554558
17535,josepiaulino,edu.elbaneide.bezerra.almeida,554559
17536,josepiaulino,edu.jose.denis,554560
17537,josepiaulino,edu.elbaneide.bezerra,554561
17538,josepiaulino,edu.iris.bezerra,554562
17539,josepiaulino,edu.hipolyana.simone,554563
17540,josepiaulino,edu.edivaldo.francisco,554564
17541,colegioanchietaii,sas1570116,553962
17542,santoamerico,sas1264819,474355
17543,santoamerico,sas1264810,474342
17544,liessinbarra,sas1416266,494559
17545,provaspoliedro,poliedro.caroline.felipello,490721
17546,amadeus,daniel.bastos,543291
17547,ipdhsolucoes,franciscanp9,433417
17548,ipdhsolucoes,italoipdh,412684
17549,ipdhsolucoes,nanaquei,409607
17550,ipdhsolucoes,nagelamq81,408136
17551,ipdhsolucoes,nataliatw23,410905
17552,ipdhsolucoes,nukaciamsa20,411861
17553,qescola,prof.motiva,543429
17554,jeanpiaget,sas.professor,555264
17555,abiliomartins,eduprof.jardel.pessoa.am,555278
17556,overmossoro,bianca.gomes,555309
17557,escoladofuturo,sas.professor,555267
17558,colegioliceu,sas1261706,474730
17559,cav,sas.professor,555271
17560,qescola,tai.prof,555305
17561,blueschooleducacional,sas1429496,532033
17562,escolamaster,sas753059,516688
17563,cursoenfase,Hicaro.galante,555192
17564,aprovest,profwandersonsilva,555360
17565,aprovest,profeduardoribeiro,555361
17566,aprovest,profvitormacieira,555362
17567,aprovest,profkelvinleite,555363
17568,acessoalmirantetamandare,maria.luiza,555366
17569,cbpdigital,elaine.leite4,598658
17570,porto,sas1504199,504793
17571,santoamerico,sas1207538,500219
17572,colegiouniverso,isaac.rubens,553985
17573,santoamerico,sas1264807,474354
17574,idaam,anne.sales,549567
17575,idaam,claudia.chaves.costa,549568
17576,idaam,danielle.arruda,549569
17577,idaam,danilo.santana,549570
17578,idaam,david.araujo,549571
17579,idaam,deborah.almeida,549572
17580,idaam,fabricio.sardinha,549573
17581,idaam,fladmar.vieira,549574
17582,idaam,flavia.da.silva,549575
17583,idaam,grace.silva,549576
17584,idaam,jessica.ribeiro,549577
17585,cbpdigital,juliatcs96,549564
17586,idaam,luiz.roberto,549578
17587,idaam,natacha.pereira,549579
17588,idaam,neivana.lima,549580
17589,idaam,patricia.da.silva,549581
17590,idaam,paula.graziela,549582
17591,idaam,rebeca.da.costa,549583
17592,idaam,ilson.ricardo,549584
17593,idaam,laynonely.neves,549585
17594,idaam,lizabete.melo,549586
17595,cbpdigital,paulouren04,549566
17596,idaam,lucas.cavalcante,549587
17597,idaam,mike.moraes,549588
17598,idaam,naicyele.ferreira,549589
17599,idaam,rafael.de.lima,549590
17600,idaam,ramon.veiga,549591
17601,idaam,sarah.lima,549592
17602,idaam,halysson.silva,549593
17603,idaam,hosenildo.gato,549594
17604,idaam,hudson.melo,549595
17605,idaam,iris.lorena,549596
17606,idaam,katianne.barbosa,549597
17607,idaam,paulo.vasconcelos,549598
17608,idaam,thais.souza,549599
17609,idaam,alberlene.bastos,549600
17610,idaam,amanda.farias,549601
17611,idaam,ana.carolina.bastos,549602
17612,idaam,claudia.chaves,549603
17613,idaam,andreza.raiol,549604
17614,idaam,antonia.oliveira,549605
