,namespace,Semana,Porcentagem de visualização de relatórios de AA
681,colegiobilac,29,0.30042918454935624
682,colegiobilac,30,0.35502530730296455
683,colegiobilac,31,0.5147744945567652
684,colegiobilac,32,0.16595744680851063
685,colegiobilac,33,0.17307692307692307
686,colegiobilac,34,0.0
687,colegiobilac,35,0.0
688,colegiobrasilia,23,0.4334990209368881
689,colegiobrasilia,24,0.46658791765102936
690,colegiobrasilia,25,0.4507945358238082
691,colegiobrasilia,26,0.0
692,colegiobrasilia,27,0.0
693,colegiobrasilia,28,0.0
694,colegiobrasilia,30,0.5927601809954751
695,colegiobrasilia,31,0.4952753339850114
696,colegiobrasilia,32,0.4981081081081081
697,colegiobrasilia,33,0.3168296234657791
698,colegiobrasilia,34,0.22320169252468264
699,colegiobrasilia,35,0.09299065420560748
700,colegiocb,23,0.7193263833199679
701,colegiocb,24,0.734375
702,colegiocb,25,0.7450980392156863
703,colegiocb,26,0.7894736842105263
704,colegiocb,27,0.0
705,colegiocb,30,0.5692307692307692
706,colegiocb,31,0.4096774193548387
707,colegiocb,32,0.6412213740458015
708,colegiocb,33,0.825
709,colegiocb,34,0.5888568683957733
710,colegiocb,35,0.43663594470046085
711,colegiocognos,23,0.0
712,colegiocognos,24,0.0
713,colegiocognos,25,0.0
714,colegiocognos,27,0.0
715,colegiocognos,28,0.0
716,colegiocognos,29,0.0
717,colegiocognos,30,0.0
718,colegiocognos,32,0.0
719,colegiocognos,33,0.0
720,colegiocognos,34,0.0
721,colegiocognos,35,0.0
722,colegiodasamericas,23,0.16666666666666666
723,colegiodasamericas,24,0.9273115980758952
724,colegiodasamericas,25,1.0
725,colegiodasamericas,26,0.3333333333333333
726,colegiodasamericas,27,0.15789473684210525
727,colegiodasamericas,30,0.6578947368421053
728,colegiodasamericas,31,0.7413793103448276
729,colegiodasamericas,33,0.8145695364238411
730,colegiodasamericas,34,0.78125
731,colegiodasamericas,35,0.7350993377483444
732,colegiodelta,30,0.0
733,colegiodompedrosegundo,28,0.5555555555555556
734,colegiodosjesuitas,23,0.0
735,colegiodosjesuitas,24,0.0
736,colegiodosjesuitas,25,0.0
737,colegiodosjesuitas,27,0.0
738,colegiodosjesuitas,28,0.0
739,colegiodosjesuitas,29,0.0
740,colegiodosjesuitas,30,0.0
741,colegiodosjesuitas,32,0.0
742,colegiodosjesuitas,33,0.0
743,colegiodosjesuitas,34,0.0
744,colegiodosjesuitas,35,0.0
745,colegioeag,27,0.0
746,colegioeag,30,0.45614035087719296
747,colegioeag,33,0.8275862068965517
748,colegioeag,34,0.6263736263736264
749,colegioeccos,23,0.0
750,colegioeccos,24,0.0
751,colegioeccos,25,0.0
752,colegioeccos,27,0.0
753,colegioeccos,28,0.0
754,colegioeccos,29,0.0
755,colegioeccos,30,0.0
756,colegioeccos,32,0.0
757,colegioeccos,33,0.0
758,colegioeccos,34,0.0
759,colegioeccos,35,0.0
760,colegioecursodesafio,23,0.5581824898411526
761,colegioecursodesafio,24,0.15726947011125778
762,colegioecursodesafio,25,0.13326653306613226
763,colegioecursodesafio,26,0.0
764,colegioecursodesafio,27,0.0
765,colegioecursodesafio,28,0.0
766,colegioecursodesafio,31,0.0
767,colegioecursodesafio,32,0.0
768,colegioecursodesafio,33,0.0
769,colegioecursodesafio,35,0.0
770,colegioecursoprogressao,23,0.5977011494252874
771,colegioecursoprogressao,24,0.6039387308533917
772,colegioecursoprogressao,25,0.6894824707846411
773,colegioecursoprogressao,26,0.6552511415525114
