,namespace,Semana,Número de AAs por turma
631,educandarioterciocorreia,35,0.5
632,educarse,32,4.0
633,educarse,33,1.0
634,eduqo,32,1.0
635,einsteinassis,23,4.428571428571429
636,einsteinassis,24,2.5714285714285716
637,einsteinassis,25,3.142857142857143
638,einsteinassis,32,1.3333333333333333
639,einsteinassis,35,0.5
640,elitecuritiba,23,0.125
641,elitecuritibaemilianoperneta,23,1.8
642,elitecuritibaemilianoperneta,24,1.8
643,elitecuritibaemilianoperneta,25,4.0
644,elitecuritibaemilianoperneta,26,7.0
645,elitecuritibaemilianoperneta,27,0.3333333333333333
646,elitecuritibaemilianoperneta,29,0.5
647,elitecuritibaemilianoperneta,30,0.75
648,elitecuritibaemilianoperneta,31,2.3333333333333335
649,elitecuritibaemilianoperneta,32,2.0
650,elitecuritibaemilianoperneta,33,0.2
651,elitecuritibaemilianoperneta,34,1.2
652,eluneonline,26,0.5
653,eluneonline,27,1.0
654,equipe,34,1.0
655,escola,34,1.0
656,escolaceciliameireles,23,2.0
657,escolaceciliameireles,24,1.0
658,escolaceciliameireles,26,2.0
659,escolaceciliameireles,27,3.25
660,escolaceciliameireles,28,1.0
661,escolaceciliameireles,30,1.0
662,escolaceciliameireles,31,1.5
663,escolaceciliameireles,32,3.0
664,escolaceciliameireles,33,1.6666666666666667
665,escolaceciliameireles,35,1.0
666,escoladeimpacto,28,0.6666666666666666
667,escolajardimdasnacoes,24,2.0
668,escolamaster,23,0.4090909090909091
669,escolamaster,24,1.0
670,escolamaster,25,0.7
671,escolamaster,26,0.3
672,escolamaster,31,0.6
673,escolamaster,33,0.6923076923076923
674,esperanza,34,1.0
675,estantemagica,27,1.0
676,faculdadeflamingo,30,2.0
677,faculdadeflamingo,31,2.0
678,faculdadeflamingo,32,1.0
679,faculdadeflamingo,33,1.0
680,faculdadeflamingo,34,1.6
681,faculdadeflamingo,35,1.0
682,fleming,31,1.0
683,fleming,33,1.0
684,francobrasileiro,28,2.5
685,francobrasileiro,30,1.0
686,fundacaobradesco,29,1.0
687,galois,28,1.0
688,garra,23,1.0
689,garra,24,2.0
690,garra,30,2.0
691,garra,31,1.0
692,gerabixo,24,1.0
693,gerabixo,33,1.0
694,idaam,23,0.25
695,idaam,33,0.25
696,idaam,34,0.25
697,implantacao,26,3.0
698,insa,34,2.0
699,institutoauxiliadoradf,34,3.0
700,institutocristao,23,2.5
701,institutocristao,24,8.0
702,institutocristao,25,3.5
703,institutocristao,26,3.25
704,institutocristao,32,1.0
705,institutocristao,34,2.0
706,institutoeurofarma,32,0.2
707,institutosaojose,33,1.1428571428571428
708,institutosaojose,34,0.5
709,integra,23,5.0
710,integra,24,2.0
711,integra,25,2.0
712,integra,34,2.0
713,integradaeducativa,23,2.6
714,integradaeducativa,24,4.588235294117647
715,integradaeducativa,25,2.7333333333333334
716,integradaeducativa,26,1.1666666666666667
717,integradaeducativa,27,0.4
718,integradaeducativa,29,1.0
719,integradaeducativa,30,0.5625
720,integradaeducativa,31,1.5
721,integradaeducativa,32,1.0
722,integradaeducativa,33,1.0
723,integradaeducativa,34,1.0
724,integradaeducativa,35,1.0
725,invictus,23,1.0
726,invictus,24,1.3333333333333333
727,invictus,25,1.25
728,invictus,26,1.1428571428571428
729,invictus,27,1.0
730,invictus,28,2.8
731,invictus,32,1.2857142857142858
732,invictus,33,2.7142857142857144
733,invictus,34,1.75
734,invictus,35,2.625
735,iracemarufino,31,1.0
736,isem,23,2.0
737,isem,24,1.6666666666666667
738,isem,25,1.0625
739,isem,26,3.0
740,isem,27,7.833333333333333
741,isem,28,1.7142857142857142
742,isem,30,3.5
743,isem,31,1.0
744,isem,32,1.8571428571428572
745,itamarati,25,1.0
746,itamarati,34,1.0
747,jardimsaopaulo,23,0.375
748,jardimsaopaulo,24,0.125
749,jazzvestibular,35,0.5
750,joaobelem,25,1.0
751,lasalleaguasclaras,34,0.8181818181818182
752,liessinbarra,25,1.0
753,litteratus,33,1.0
754,macvest,23,1.0
755,macvest,26,1.0
756,macvest,27,1.0
757,macvest,32,1.0
758,macvest,33,1.0
759,magister,24,1.0
760,magister,25,1.0
761,magister,29,1.5
762,magister,30,1.2
763,magister,32,1.625
764,magister,33,1.0
765,maplebearslz,23,1.7333333333333334
766,maplebearslz,24,1.8333333333333333
767,maplebearslz,25,2.3
768,maplebearslz,26,1.3333333333333333
769,maplebearslz,30,1.6363636363636365
770,maplebearslz,31,1.2580645161290323
771,maplebearslz,32,2.7083333333333335
772,maplebearslz,33,2.8823529411764706
773,maplebearslz,34,2.090909090909091
774,maplebearslz,35,1.0
775,mariliamattoso,23,3.0
776,mariliamattoso,24,2.25
777,mariliamattoso,25,2.1666666666666665
778,mariliamattoso,26,2.5833333333333335
779,mariliamattoso,27,0.75
780,mariliamattoso,28,1.6666666666666667
781,mariliamattoso,29,1.1666666666666667
782,mariliamattoso,30,2.090909090909091
783,mariliamattoso,31,1.0
